Order,Family,Genus,Species,Mass_g
Carnivora,Felidae,Felis,silvestris,4250.000
Carnivora,Canidae,Vulpes,vulpes,5950.000
Carnivora,Canidae,Dusicyon,australis,50003.453
Carnivora,Phocidae,Monachus,tropicalis,200000.000
Carnivora,Felidae,Panthera,spelaea,380189.396
Carnivora,Hyaenidae,Crocuta,crocuta,69984.200
Carnivora,Procyonidae,Bassariscus,sonoitensis,1000.000
Carnivora,Mustelidae,Brachyprotoma ,obtusata,4500.000
Carnivora,Felidae,Felis,amnicola,5000.000
Carnivora,Canidae,Cuon,alpinus,17000.000
Carnivora,Canidae,Canis,dirus,65000.000
Carnivora,Felidae,Miracinonyx,trumani,88000.000
Carnivora,Ursidae,Tremarctos,floridanus,150000.000
Carnivora,Felidae,Homotherium,serum,189000.000
Carnivora,Ursidae,Arctodus,pristinus,300000.000
Carnivora,Felidae,Smilodon,fatalis,400000.000
Carnivora,Felidae,Panthera,leo atrox,433200.000
Carnivora,Ursidae,Arctodus,simus,720000.000
Carnivora,Canidae,Canis,nehringi,30000.000
Carnivora,Canidae,Canis,dirus,50000.000
Carnivora,Canidae,Dusicyon,avus,13000.000
Carnivora,Canidae,Protocyon,troglodytes,16000.000
Carnivora,Canidae,Protocyon,orcesi,25000.000
Carnivora,Canidae,Pseudalopex,peruanus,6430.000
Carnivora,Canidae,Speothos,pacivorus,9000.000
Carnivora,Canidae,Theriodictis,platensis,27000.000
Carnivora,Canidae,Theriodictis,tarijensis,27000.000
Carnivora,Felidae,Panthera,leo atrox,433200.000
Carnivora,Felidae,Smilodon,fatalis,433200.000
Carnivora,Felidae,Smilodon,populator,442000.000
Carnivora,Ursidae,Arctodus,bonariensis,600000.000
Carnivora,Canidae,Canis,mesomelas,8500.021
Carnivora,Canidae,Canis,simensis,10000.000
Carnivora,Canidae,Canis,adustus,10249.909
Carnivora,Canidae,Canis,aureus,10999.932
Carnivora,Canidae,Lycaon,pictus,22050.071
Carnivora,Canidae,Otocyon,megalotis,4150.018
Carnivora,Canidae,Vulpes,zerda,1100.000
Carnivora,Canidae,Vulpes,pallida,2800.013
Carnivora,Canidae,Vulpes,chama,2955.017
Carnivora,Canidae,Vulpes,rueppelli,3249.975
Carnivora,Canidae,Vulpes,vulpes,5999.983
Carnivora,Felidae,Acinonyx,jubatus,43400.000
Carnivora,Felidae,Caracal,caracal,13749.915
Carnivora,Felidae,Felis,nigripes,1299.990
Carnivora,Felidae,Felis,margarita,2524.992
Carnivora,Felidae,Felis,silvestris,4649.968
Carnivora,Felidae,Felis,chaus,6749.941
Carnivora,Felidae,Leptailurus,serval,11999.966
Carnivora,Felidae,Panthera,pardus,54999.659
Carnivora,Felidae,Panthera,leo,161499.060
Carnivora,Felidae,Profelis,aurata,10650.010
Carnivora,Herpestidae,Atilax,paludinosus,3299.970
Carnivora,Herpestidae,Bdeogale,crassicauda,1549.994
Carnivora,Herpestidae,Bdeogale,nigripes,2500.000
Carnivora,Herpestidae,Bdeogale,jacksoni,2500.000
Carnivora,Herpestidae,Crossarchus,ansorgei,700.000
Carnivora,Herpestidae,Crossarchus,obscurus,1250.000
Carnivora,Herpestidae,Crossarchus,alexandri,1500.000
Carnivora,Herpestidae,Cynictis,penicillata,836.007
Carnivora,Herpestidae,Dologale,dybowskii,350.002
Carnivora,Herpestidae,Galerella,sanguinea,549.997
Carnivora,Herpestidae,Galerella,flavescens,750.000
Carnivora,Herpestidae,Galerella,swalius,750.000
Carnivora,Herpestidae,Galerella,pulverulenta,797.003
Carnivora,Herpestidae,Helogale,hirtula,289.001
Carnivora,Herpestidae,Helogale,parvula,299.999
Carnivora,Herpestidae,Herpestes,ichneumon,2849.968
Carnivora,Herpestidae,Herpestes,naso,2999.991
Carnivora,Herpestidae,Ichneumia,albicauda,3500.016
Carnivora,Herpestidae,Liberiictis,kuhni,2150.008
Carnivora,Herpestidae,Mungos,gambianus,1500.000
Carnivora,Herpestidae,Mungos,mungo,1924.997
Carnivora,Herpestidae,Paracynictis,selousi,1639.985
Carnivora,Herpestidae,Rhynchogale,melleri,2500.000
Carnivora,Herpestidae,Suricata,suricatta,725.504
Carnivora,Hyaenidae,Crocuta,crocuta,62999.920
Carnivora,Hyaenidae,Hyaena,hyaena,46000.230
Carnivora,Hyaenidae,Parahyaena,brunnea,32200.306
Carnivora,Hyaenidae,Proteles,cristatus,10000.000
Carnivora,Mustelidae,Aonyx,capensis,18999.842
Carnivora,Mustelidae,Aonyx,congicus,23800.167
Carnivora,Mustelidae,Ictonyx,libyca,625.000
Carnivora,Mustelidae,Ictonyx,striatus,1299.990
Carnivora,Mustelidae,Lutra,maculicollis,4000.000
Carnivora,Mustelidae,Lutra,lutra,10999.932
Carnivora,Mustelidae,Mellivora,capensis,8000.000
Carnivora,Mustelidae,Mustela,nivalis,187.499
Carnivora,Mustelidae,Mustela,putorius,1099.993
Carnivora,Mustelidae,Poecilogale,albinucha,340.001
Carnivora,Phocidae,Monachus,monachus,275000.000
Carnivora,Viverridae,Civettictis,civetta,11999.966
Carnivora,Viverridae,Genetta,servalina,1054.994
Carnivora,Viverridae,Genetta,thierryi,1400.006
Carnivora,Viverridae,Genetta,abyssinica,1649.985
Carnivora,Viverridae,Genetta,angolensis,1649.985
Carnivora,Viverridae,Genetta,genetta,2000.000
Carnivora,Viverridae,Genetta,johnstoni,2225.000
Carnivora,Viverridae,Genetta,maculata,2225.000
Carnivora,Viverridae,Genetta,tigrina,2225.000
Carnivora,Viverridae,Genetta,victoriae,2999.991
Carnivora,Viverridae,Nandinia,binotata,2000.000
Carnivora,Viverridae,Osbornictis,piscivora,2999.991
Carnivora,Viverridae,Poiana,richardsonii,500.000
Carnivora,Canidae,Canis,lupus,16800.000
Carnivora,Otariidae,Arctocephalus,tropicalis,84000.000
Carnivora,Otariidae,Arctocephalus,gazella,97500.000
Carnivora,Otariidae,Arctocephalus,forsteri,101250.000
Carnivora,Otariidae,Arctocephalus,pusillus,178500.000
Carnivora,Otariidae,Neophoca,cinerea,190000.000
Carnivora,Phocidae,Hydrurga,leptonyx,360000.000
Carnivora,Phocidae,Leptonychotes,weddellii,400000.000
Carnivora,Phocidae,Lobodon,carcinophagus,233250.000
Carnivora,Phocidae,Ommatophoca,rossii,250000.000
Carnivora,Felidae,Panthera,leo,161499.060
Carnivora,Canidae,Alopex,lagopus,6285.333
Carnivora,Canidae,Canis,aureus,11958.333
Carnivora,Canidae,Canis,lupus,37000.000
Carnivora,Canidae,Cuon,alpinus,12760.000
Carnivora,Canidae,Nyctereutes,procyonoides,4040.000
Carnivora,Canidae,Vulpes,cana,936.850
Carnivora,Canidae,Vulpes,zerda,1100.000
Carnivora,Canidae,Vulpes,corsac,2400.000
Carnivora,Canidae,Vulpes,rueppelli,2479.987
Carnivora,Canidae,Vulpes,bengalensis,2726.000
Carnivora,Canidae,Vulpes,ferrilata,5000.000
Carnivora,Canidae,Vulpes,vulpes,5823.000
Carnivora,Felidae,Acinonyx,jubatus,50000.000
Carnivora,Felidae,Caracal,caracal,13749.915
Carnivora,Felidae,Catopuma,temminckii,11500.000
Carnivora,Felidae,Felis,margarita,2524.992
Carnivora,Felidae,Felis,bieti,5500.000
Carnivora,Felidae,Felis,silvestris,6400.000
Carnivora,Felidae,Felis,chaus,7257.000
Carnivora,Felidae,Lynx,pardinus,9400.000
Carnivora,Felidae,Lynx,lynx,17950.000
Carnivora,Felidae,Neofelis,nebulosa,19500.000
Carnivora,Felidae,Otocolobus,manul,3500.000
Carnivora,Felidae,Panthera,pardus,45500.000
Carnivora,Felidae,Panthera,tigris,162564.000
Carnivora,Felidae,Pardofelis,marmorata,3250.000
Carnivora,Felidae,Prionailurus,rubiginosus,1350.000
Carnivora,Felidae,Prionailurus,bengalensis,3300.000
Carnivora,Felidae,Prionailurus,viverrinus,10850.000
Carnivora,Felidae,Uncia,uncia,44167.000
Carnivora,Herpestidae,Herpestes,palustris,-999.000
Carnivora,Herpestidae,Herpestes,javanicus,750.000
Carnivora,Herpestidae,Herpestes,edwardsii,1324.200
Carnivora,Herpestidae,Herpestes,smithii,1861.400
Carnivora,Herpestidae,Herpestes,urva,1863.200
Carnivora,Herpestidae,Herpestes,brachyurus,2000.000
Carnivora,Herpestidae,Herpestes,vitticollis,2994.679
Carnivora,Herpestidae,Herpestes,ichneumon,7500.000
Carnivora,Herpestidae,Ichneumia,albicauda,3500.016
Carnivora,Hyaenidae,Hyaena,hyaena,37410.000
Carnivora,Mustelidae,Amblonyx,cinereus,3990.429
Carnivora,Mustelidae,Arctonyx,collaris,6356.000
Carnivora,Mustelidae,Gulo,gulo,19500.000
Carnivora,Mustelidae,Ictonyx,libyca,3500.000
Carnivora,Mustelidae,Lutra,sumatrana,5500.000
Carnivora,Mustelidae,Lutra,lutra,10999.932
Carnivora,Mustelidae,Lutrogale,perspicillata,9966.667
Carnivora,Mustelidae,Martes,melampus,1000.000
Carnivora,Mustelidae,Martes,zibellina,1130.000
Carnivora,Mustelidae,Martes,martes,1300.000
Carnivora,Mustelidae,Martes,foina,1540.800
Carnivora,Mustelidae,Martes,gwatkinsii,2043.000
Carnivora,Mustelidae,Martes,flavigula,2500.000
Carnivora,Mustelidae,Meles,meles,13000.000
Carnivora,Mustelidae,Mellivora,capensis,9000.000
Carnivora,Mustelidae,Melogale,moschata,938.500
Carnivora,Mustelidae,Melogale,personata,1702.500
Carnivora,Mustelidae,Mustela,nivalis,77.250
Carnivora,Mustelidae,Mustela,erminea,168.750
Carnivora,Mustelidae,Mustela,altaica,171.000
Carnivora,Mustelidae,Mustela,kathiah,208.083
Carnivora,Mustelidae,Mustela,sibirica,405.000
Carnivora,Mustelidae,Mustela,lutreola,440.000
Carnivora,Mustelidae,Mustela,nudipes,500.000
Carnivora,Mustelidae,Mustela,putorius,730.750
Carnivora,Mustelidae,Mustela,eversmannii,1350.000
Carnivora,Mustelidae,Mustela,strigidorsa,1500.000
Carnivora,Mustelidae,Vormela,peregusna,450.3846154
Carnivora,Odobenidae,Odobenus,rosmarus,825000.000
Carnivora,Otariidae,Eumetopias,jubatus,310000.000
Carnivora,Phocidae,Cystophora,cristata,375000.000
Carnivora,Phocidae,Erignathus,barbatus,280000.000
Carnivora,Phocidae,Halichoerus,grypus,157667.000
Carnivora,Phocidae,Monachus,monachus,310000.000
Carnivora,Phocidae,Phoca,caspica,86000.000
Carnivora,Phocidae,Phoca,fasciata,90000.000
Carnivora,Phocidae,Phoca,sibirica,90000.000
Carnivora,Phocidae,Phoca,hispida,90900.000
Carnivora,Phocidae,Phoca,vitulina,100000.000
Carnivora,Phocidae,Phoca,groenlandica,120000.000
Carnivora,Phocidae,Phoca,largha,150000.000
Carnivora,Ursidae,Ailuropoda,melanoleuca,108400.000
Carnivora,Ursidae,Ailurus,fulgens,4900.000
Carnivora,Ursidae,Helarctos,malayanus,46000.000
Carnivora,Ursidae,Melursus,ursinus,100000.000
Carnivora,Ursidae,Ursus,thibetanus,77500.000
Carnivora,Ursidae,Ursus,arctos,221600.000
Carnivora,Ursidae,Ursus,maritimus,425000.000
Carnivora,Viverridae,Arctictis,binturong,13000.000
Carnivora,Viverridae,Arctogalidia,trivirgata,2250.000
